Date,Price,Open,High,Low,Vol.,Change %
19-Apr-22,113.8,111.3,114.2,110.6,267.78K,2.25%
18-Apr-22,111.3,108.8,111.5,105.5,435.19K,2.30%
17-Apr-22,108.8,114.3,115.1,108.3,275.69K,-4.81%
16-Apr-22,114.3,110.9,114.7,110.2,256.34K,3.07%
15-Apr-22,110.9,107.4,112.8,107.1,303.13K,3.26%
14-Apr-22,107.4,110.5,112.3,106.1,323.66K,-2.81%
13-Apr-22,110.5,104.8,110.8,104,389.93K,5.44%
12-Apr-22,104.8,102.4,105.8,101.9,298.69K,2.34%
11-Apr-22,102.4,110.2,110.7,102.1,439.86K,-7.08%
10-Apr-22,110.2,112.8,114.5,110.2,200.78K,-2.30%
9-Apr-22,112.8,110.7,112.9,110,192.68K,1.90%
8-Apr-22,110.7,114.2,115.2,109.9,361.96K,-3.06%
7-Apr-22,114.2,111.6,115,110.3,302.84K,2.33%
6-Apr-22,111.6,122.7,123,111.6,609.82K,-9.05%
5-Apr-22,122.7,124.8,127.2,122.7,266.70K,-1.68%
4-Apr-22,124.8,128.8,128.9,121.2,461.77K,-3.11%
3-Apr-22,128.8,124.7,129.5,123.9,303.76K,3.29%
2-Apr-22,124.7,124.8,128.3,124,446.33K,-0.08%
1-Apr-22,124.8,123.8,126.3,119.2,459.33K,0.81%
31-Mar-22,123.8,131,132.9,121.5,925.29K,-5.50%
30-Mar-22,131,130,134,126,469.46K,0.77%
29-Mar-22,130,127.3,132,127.2,402.31K,2.12%
28-Mar-22,127.3,129.7,132.6,127.3,485.44K,-1.85%
27-Mar-22,129.7,124.9,129.7,123.3,360.94K,3.84%
26-Mar-22,124.9,123.9,125.5,122,222.33K,0.81%
25-Mar-22,123.9,126.5,127.3,121.8,389.34K,-2.06%
24-Mar-22,126.5,122.4,127.7,120.4,494.29K,3.35%
23-Mar-22,122.4,122.7,124.4,118.6,404.12K,-0.24%
22-Mar-22,122.7,116.1,123.7,115.6,613.16K,5.68%
21-Mar-22,116.1,114.9,116.8,113.2,415.46K,1.04%
20-Mar-22,114.9,116.9,118.2,111.5,457.04K,-1.71%
19-Mar-22,116.9,111.9,117.1,111.5,454.74K,4.47%
18-Mar-22,111.9,110.2,112.9,107.9,39.95M,1.54%
17-Mar-22,110.2,111.2,111.6,108.5,34.76M,-1.08%
16-Mar-22,111.4,106.8,111.9,105.7,68.13M,4.31%
15-Mar-22,106.8,105.5,108.6,102.5,48.10M,1.04%
14-Mar-22,105.7,101.7,106.2,100.9,48.11M,3.93%
13-Mar-22,101.7,105.5,107.3,101.1,27.99M,-3.60%
12-Mar-22,105.5,104.6,108,104.6,29.05M,0.86%
11-Mar-22,104.6,102.6,106.8,99.9,47.91M,1.95%
10-Mar-22,102.6,106.9,107,99.9,55.85M,-4.02%
9-Mar-22,106.9,100.8,109.2,100.5,58.29M,6.05%
8-Mar-22,100.8,98.4,102.4,97.8,49.21M,2.44%
7-Mar-22,98.4,101,103.8,96.4,51.88M,-2.57%
6-Mar-22,101,104.9,105.8,100.8,32.29M,-3.72%
5-Mar-22,104.9,101.1,105.4,99.7,30.68M,3.76%
4-Mar-22,101.1,111.9,112.6,99.1,67.28M,-9.65%
3-Mar-22,111.9,110.4,113,108.4,638.07K,1.36%
2-Mar-22,110.4,112.5,114.6,109.3,513.50K,-1.87%
1-Mar-22,112.5,113.8,115.8,110.2,601.71K,-1.14%
